URL,Extracted Data
https://portal.unilu.ch/details?code=HS231264,"Mi, 20.09.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 27.09.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 04.10.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 11.10.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 18.10.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 25.10.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 08.11.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 15.11.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 22.11.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 29.11.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 06.12.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 13.12.2023, 14:15 - 16:00 Uhr, HS 3
Mi, 20.12.2023, 14:15 - 16:00 Uhr, HS 3"
https://portal.unilu.ch/details?code=HS231284,"Do, 21.09.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 28.09.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 05.10.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 12.10.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 19.10.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 26.10.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 09.11.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 16.11.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 23.11.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 30.11.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 07.12.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 14.12.2023, 10:15 - 12:00 Uhr, 4.B55
Do, 04.01.2024, 10:15 - 11:45 Uhr, HS 1 (Prüfung)"
https://portal.unilu.ch/details?code=HS231259,"Mi, 20.09.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 27.09.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 04.10.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 11.10.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 25.10.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 08.11.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 15.11.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 22.11.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 29.11.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 06.12.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 13.12.2023, 08:15 - 10:00 Uhr, HS 7
Mi, 20.12.2023, 08:15 - 09:15 Uhr, HS 1 (Prüfung)"
https://portal.unilu.ch/details?code=HS231274,"Mo, 18.09.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 25.09.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 09.10.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 16.10.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 23.10.2023, 14:15 - 16:00 Uhr, HS 3
Mo, 30.10.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 06.11.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 13.11.2023, 14:15 - 16:00 Uhr, HS 3
Mo, 20.11.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 27.11.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 04.12.2023, 14:15 - 16:00 Uhr, HS 1
Mo, 11.12.2023, 14:15 - 15:15 Uhr, HS 1 (Prüfung)"
https://portal.unilu.ch/details?code=HS231234,"Di, 19.09.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 26.09.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 03.10.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 10.10.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 17.10.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 24.10.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 31.10.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 07.11.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 14.11.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 21.11.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 28.11.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 05.12.2023, 12:15 - 14:00 Uhr, 4.B55
Di, 12.12.2023, 12:15 - 13:45 Uhr, HS 8 (Prüfung)
Di, 12.12.2023, 12:15 - 13:45 Uhr, 4.A05 (Prüfung)"
https://portal.unilu.ch/details?code=HS231266,"Mo, 11.09.2023, 09:15 - 14:00 Uhr, HS 5
Di, 12.09.2023, 09:15 - 14:00 Uhr, HS 5
Mi, 13.09.2023, 09:15 - 14:00 Uhr, HS 5
Do, 14.09.2023, 09:15 - 14:00 Uhr, HS 5
Fr, 15.09.2023, 09:15 - 13:00 Uhr, HS 4"
https://portal.unilu.ch/details?code=HS231227,"Do, 21.09.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 28.09.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 05.10.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 12.10.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 19.10.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 26.10.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 02.11.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 09.11.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 16.11.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 23.11.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 30.11.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 14.12.2023, 18:15 - 20:00 Uhr, 4.A05
Do, 21.12.2023, 18:15 - 20:00 Uhr, 4.A05"
https://portal.unilu.ch/details?code=HS231257,"Mo, 25.09.2023, 16:15 - 18:00 Uhr, ZOOM
Do, 14.12.2023, 08:15 - 14:00 Uhr, 3.B58
Fr, 15.12.2023, 08:15 - 16:00 Uhr, 3.B58"
https://portal.unilu.ch/details?code=HS231168,"Mo, 18.09.2023, 16:15 - 18:00 Uhr, HS 13
Do, 23.11.2023, 14:15 - 18:00 Uhr, 3.B57
Fr, 24.11.2023, 08:15 - 17:00 Uhr, Inseliquai 10 220"
https://portal.unilu.ch/details?code=HS231228,"Mi, 20.09.2023, 12:15 - 14:00 Uhr, HS 2
Fr, 29.09.2023, 09:15 - 17:00 Uhr, 4.B55
Fr, 13.10.2023, 09:15 - 17:00 Uhr, 4.A05"
